x,y
REF_YEAR,NR OF DOCTORS / 1000 INH
1960,1.59
1961,1.58
1962,1.57
1963,1.56
1964,1.56
1965,1.56
1966,1.57
1967,1.58
1968,1.6
1969,1.63
1970,1.67
1971,1.7
1973,1.76
1974,1.81
1975,1.87
1976,1.95
1977,2.01
1978,2.07
1979,2.14
1980,2.21
1981,2.27
1982,2.33
1983,2.42
1984,2.5
1985,2.57
1986,2.67
1987,2.7
1988,2.8
1989,2.9
1990,3.01
1991,3.09
1992,3.21
1993,3.3
1994,3.41
1995,3.51
1996,3.58
1997,3.66
1998,3.77
1999,3.77
2000,3.85
2001,3.96
2002,4.03
2003,4.11
2004,4.2
2005,4.32
2006,4.45
2007,4.54
2008,4.6
2009,4.69
2010,4.8
2011,4.84
2012,4.9
2013,4.99
2014,5.05
2015,5.1
