x,y
REF_YEAR,Gap between Females and Males
1961,6.599999999999994
1962,6.200000000000003
1963,6.299999999999997
1964,6.400000000000006
1965,6.400000000000006
1966,6.300000000000011
1967,6.299999999999997
1968,6.400000000000006
1969,6.6000000000000085
1970,6.5
1971,6.799999999999997
1972,6.5
1973,6.900000000000006
1974,6.5
1975,6.599999999999994
1976,6.799999999999997
1977,6.699999999999989
1978,7.0
1979,6.700000000000003
1980,6.3999999999999915
1981,6.5
1982,7.0
1983,7.0
1984,7.300000000000011
1985,6.8999999999999915
1986,6.799999999999997
1987,6.799999999999997
1988,6.8999999999999915
1989,6.799999999999997
1990,6.599999999999994
1991,6.799999999999997
1992,7.199999999999989
1993,6.900000000000006
1994,6.599999999999994
1995,6.599999999999994
1996,6.400000000000006
1997,5.900000000000006
1998,6.799999999999997
1999,6.0
2000,5.8999999999999915
2001,5.900000000000006
2002,5.200000000000003
2003,5.5
2004,5.5
2005,5.599999999999994
2006,5.400000000000006
2007,5.200000000000003
2008,5.199999999999989
2009,5.5
2010,5.400000000000006
2011,5.299999999999997
2012,5.200000000000003
2013,5.1000000000000085
2014,4.8999999999999915
