x,y
REF_YEAR,BIRTH_LIFE_EXP_M
1961,66.7
1962,66.8
1963,66.8
1964,67.1
1965,66.6
1966,67.1
1967,67
1968,67.3
1969,66.8
1970,67
1971,66.7
1972,67.5
1973,67.5
1974,67.9
1975,67.7
1976,68
1977,68.4
1978,68.2
1979,68.5
1980,68.9
1981,69.2
1982,69
1983,68.9
1984,69.1
1985,69.7
1986,70.3
1987,70.5
1988,70.9
1989,71.2
1990,71.5
1991,71.3
1992,70.9
1993,71.5
1994,72.2
1995,72.2
1996,72.8
1997,73.8
1998,73.5
1999,74.1
2000,74.4
2001,74.8
2002,75.3
2003,75
2004,75.7
2005,75.9
2006,76.3
2007,76.6
2008,76.9
2009,76.3
2010,76.5
2011,77
2012,77.1
2013,77.3
2014,77.7
